year,season,date_begin,date_end,net_units,DOCE,DOPE,ONCLHE,ONMY,SAFO,GIEL,CYCA,XYTE,AMME,AMNA,ICPU,LECY,LEMA,MIDO,MISA,PONI,MOSA
2007,autumn,11/26/2007,11/30/2007,45.09,0,0,0,0,0,0,38,9,0,4,6,0,0,0,35,0,30
2008,spring,3/10/2008,3/14/2008,46.82,0,0,0,0,0,0,58,11,0,3,7,0,0,1,17,0,4
2008,autumn,12/1/2008,12/5/2008,50.10,0,0,0,0,0,0,44,5,0,3,4,0,0,1,3,0,9
2009,spring,3/16/2009,3/19/2009,25.05,0,0,0,0,0,0,29,15,0,0,2,0,2,1,15,0,1
2009,autumn,11/30/2009,12/4/2009,41.75,0,0,0,0,0,0,18,1,0,2,2,0,2,0,21,0,3
2010,spring,3/15/2010,3/19/2010,41.60,0,0,0,0,0,0,184,23,0,0,7,0,0,4,16,0,2
2010,autumn,12/6/2010,12/10/2010,38.41,0,0,0,0,0,0,51,4,0,5,6,0,0,4,33,0,5
2011,spring,3/14/2011,3/18/2011,39.50,0,0,0,0,0,0,54,13,0,2,16,0,1,5,31,0,2
2011,autumn,11/28/2011,12/1/2011,18.37,0,0,0,0,0,0,25,11,0,5,9,0,0,12,12,0,12
2012,spring,3/12/2012,3/16/2012,36.79,0,0,0,0,0,0,52,21,0,7,8,0,0,42,17,0,2
2012,autumn,11/26/2012,11/30/2012,28.39,0,0,0,0,0,0,19,5,0,2,6,0,0,44,4,0,15
2013,spring,3/11/2013,3/15/2013,40.13,0,0,0,0,0,0,27,17,0,3,2,0,0,39,10,0,0
2013,autumn,12/2/2013,12/6/2013,40.13,0,0,0,0,0,0,25,23,0,16,31,0,1,41,8,0,26
2014,spring,3/17/2014,3/21/2014,40.13,0,0,0,0,0,0,25,25,0,6,5,0,2,34,14,0,0
2014,autumn,12/1/2014,12/5/2014,41.13,44,0,0,0,0,0,26,17,0,16,10,0,2,39,3,0,25
2015,spring,3/16/2015,3/20/2015,40.13,44,0,0,0,0,0,70,27,0,7,20,0,3,54,10,0,4
2015,autumn,11/30/2015,12/4/2015,40.13,3,0,0,0,0,0,15,0,0,17,2,0,1,21,4,0,16
2016,spring,3/14/2016,3/18/2016,40.13,0,0,0,0,0,0,30,10,0,7,0,0,0,22,4,0,1
2016,autumn,12/5/2016,12/9/2016,38.50,0,0,0,0,0,0,29,7,0,11,8,0,0,14,6,0,20
2017,spring,3/13/2017,3/17/2017,40.13,0,0,0,0,0,0,19,4,0,7,3,0,0,23,3,0,1
2017,autumn,11/27/2017,12/1/2017,40.13,0,0,0,0,0,0,25,10,0,6,8,0,3,33,6,0,5
2018,spring,3/12/2018,3/16/2018,38.50,0,0,0,0,0,0,24,13,0,2,13,0,1,37,6,0,1
2018,autumn,11/26/2018,11/30/2018,40.10,8,0,0,0,0,0,16,2,0,23,10,1,3,60,14,0,15
2019,spring,3/11/2019,3/15/2019,40.10,1,0,0,0,0,0,15,15,0,2,10,0,2,31,4,0,4
2019,autumn,12/2/2019,12/6/2019,40.10,0,0,0,0,0,0,24,28,0,10,9,0,3,46,14,0,5
2020,spring,3/16/2020,3/20/2020,40.10,5,0,0,0,0,0,85,51,0,1,24,0,0,39,7,0,28
2020,autumn,11/30/2020,12/4/2020,40.10,0,0,0,0,0,0,14,16,0,15,4,0,6,36,33,0,2
